NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
1,1,17058.76,16887.5,9/13/2024 12:00:00 AM
2,1,17103.26,16931.53,9/12/2024 12:00:00 AM
3,1,17134.1,16962.07,9/11/2024 12:00:00 AM
4,1,17168.69,16996.32,9/10/2024 12:00:00 AM
5,1,17177.59,17005.14,9/9/2024 12:00:00 AM
6,1,17168.94,16996.58,9/6/2024 12:00:00 AM
7,1,17212.93,17037.03,9/5/2024 12:00:00 AM
8,1,17290.5,17116.92,9/4/2024 12:00:00 AM
9,1,17284.34,17110.81,9/3/2024 12:00:00 AM
10,1,17234.46,17059.91,9/2/2024 12:00:00 AM
11,1,17215.84,17043,8/30/2024 12:00:00 AM
12,1,17356.02,17181.78,8/29/2024 12:00:00 AM
13,1,17399.27,17224.58,8/28/2024 12:00:00 AM
14,1,17280.81,17107.34,8/27/2024 12:00:00 AM
15,1,17384.09,17209.57,8/26/2024 12:00:00 AM
16,1,17446.48,17263.58,8/23/2024 12:00:00 AM
17,1,17266.79,17091.91,8/22/2024 12:00:00 AM
18,1,17250.05,17076.86,8/21/2024 12:00:00 AM
19,1,17301.65,17127.96,8/20/2024 12:00:00 AM
20,1,17353.51,17179.27,8/19/2024 12:00:00 AM
21,1,17364.04,17189.72,8/16/2024 12:00:00 AM
22,1,17351.13,17175.37,8/15/2024 12:00:00 AM
23,1,17447.51,17272.34,8/14/2024 12:00:00 AM
24,1,17526.78,17349.2,8/13/2024 12:00:00 AM
25,1,17469.78,17294.36,8/12/2024 12:00:00 AM
26,1,17538.75,17362.64,8/9/2024 12:00:00 AM
27,1,17669.11,17491.69,8/8/2024 12:00:00 AM
28,1,17769.96,17591.52,8/7/2024 12:00:00 AM
29,1,17781.94,17601.79,8/6/2024 12:00:00 AM
30,1,17626.91,17449.9,8/5/2024 12:00:00 AM
31,1,17631.79,17453.11,8/2/2024 12:00:00 AM
32,1,17713.35,17533.85,8/1/2024 12:00:00 AM
